username,crmf,crms,crmv,crnf,crns,crnv,crf_crv,ntus,crm,crn,nts_nts,fm,vandal
Crazystuff9483,1,0,0,1,0,1,1,0,1,1,0,0,1
Kmp3012,0,0,0,0,0,0,0,0,0,0,0,0,1
Historywiz123h,0,0,0,1,1,1,1,0,0,1,0,0,1
Benavidez th,0,0,0,0,1,1,0,0,0,1,0,0,1
Erviniumd,0,0,0,0,0,0,0,0,0,0,0,0,1
Dekrainata,0,0,0,0,0,0,0,0,0,0,0,0,1
Billsonoma,0,0,0,0,1,1,0,0,0,1,0,0,1
Rmfranch,1,1,1,0,0,0,1,0,1,0,0,1,0
Fingerelevenfanatic9,0,0,0,0,0,0,0,0,0,0,0,0,1
Jmgstyles,0,0,0,0,0,0,0,0,0,0,0,0,1
Nickname97,0,1,1,1,0,1,1,1,1,1,1,0,1
EBJAHM,1,0,0,0,0,0,0,0,1,0,0,1,0
Hiiiiiii im sheldon coooooper,0,0,0,0,0,0,0,0,0,0,0,0,1
JacobObrien3,0,1,0,0,0,0,0,0,1,0,0,1,0
Dragomirche,1,1,1,1,1,1,1,0,1,1,1,0,1
CrabfLarnec (The Alpaca),0,0,0,0,0,0,0,0,0,0,0,1,1
JessH20132014,0,0,0,1,1,1,1,0,0,1,0,1,0
LoserBoy123,0,0,0,1,0,1,0,0,0,1,0,0,1
Inputbash,1,1,1,0,0,0,1,0,1,0,0,1,0
Gingeroscar,1,1,1,1,1,1,1,1,1,1,1,0,0
Vseth,0,0,0,1,1,1,1,1,0,1,0,1,0
Werddemer,1,1,1,1,1,1,1,1,1,1,1,0,0
Alfkja,0,0,0,0,0,0,0,0,0,0,0,0,1
Jhunter d,0,0,0,0,0,1,1,0,0,1,0,0,0
Chim02,0,0,1,0,0,1,1,0,1,1,0,1,1
Lizzy Green,1,0,1,1,1,1,1,1,1,1,1,0,1
Daryoush.Alipour,0,0,1,0,0,0,0,0,1,0,0,1,0
Yourafagot,0,0,0,1,0,0,0,0,0,1,0,0,1
Altojells,0,0,0,0,0,1,0,0,0,1,1,0,1
Janet Hughes,1,1,1,1,1,1,1,1,1,1,0,1,0
Larrytheengineer,0,0,0,1,0,1,1,0,0,1,0,0,1
VinylTavi,0,0,0,0,0,1,0,0,0,1,0,0,1
Matty the doctor,0,0,0,1,0,1,1,0,0,1,0,0,1
PaintItPlaid,1,0,1,0,0,1,1,0,1,1,0,1,0
Lilbryant,0,0,0,0,0,0,0,0,0,0,0,0,1
Ggofthejungle,0,1,1,0,0,0,1,0,1,0,0,1,0
Brad dover,0,0,0,0,0,0,0,0,0,0,0,1,1
Dadams96,0,0,0,1,0,1,1,0,0,1,0,0,1
Austinn98,0,0,1,1,1,1,1,0,1,1,0,1,1
Dingdony,0,0,0,0,0,1,1,0,0,1,0,0,1
Vincentb21,0,1,1,0,0,0,0,0,1,0,0,1,0
Sallymccoistsleftone,0,0,0,1,0,1,1,0,0,1,0,0,1
Thecsly,1,0,1,0,1,1,1,0,1,1,0,1,0
Urmomisfat100010001000,0,0,0,0,0,0,0,0,0,0,0,0,1
Nialv7,0,0,0,0,0,0,0,0,0,0,0,0,0
Travismn,1,1,1,1,1,1,0,0,1,1,0,0,0
Aykae,0,0,0,1,0,0,0,0,0,1,0,0,1
Kailash chand arya,1,1,1,0,0,0,1,0,1,0,0,1,0
User1234567891011,0,0,0,1,0,0,0,0,0,1,1,0,1
Mario-Tiv,0,0,0,0,0,0,0,0,0,0,1,0,0
2345herobrine,0,0,0,0,0,1,1,0,0,1,0,0,1
Wornesy99,0,0,0,1,0,1,0,0,0,1,0,0,1
Tizzypaste,0,0,0,1,0,1,1,0,0,1,0,0,1
Lightsaberspark1,0,0,0,0,0,1,1,0,0,1,0,0,1
Mjayamala,0,1,0,0,0,0,0,0,1,0,0,1,0
Ubaid Iqbal,0,0,1,0,0,0,1,0,1,0,0,1,0
Brooklynelyse,0,1,0,0,0,0,0,0,1,0,0,1,0
Dsnfrsdmahfjksdahfjklas,0,0,0,0,0,1,1,0,0,1,0,0,1
TheMeaningof7,0,0,0,1,0,1,1,0,0,1,0,0,1
Sanjey34,0,0,0,1,0,0,0,0,0,1,0,0,1
FedermanGalan,1,0,0,0,0,0,0,0,1,0,0,1,0
Respite From Revision,0,1,1,0,0,1,0,0,1,1,1,1,0
Narwhal58,0,0,0,0,0,0,0,0,0,0,1,0,1
Robiedawg,0,0,0,0,1,1,1,0,0,1,0,0,1
Abuyusi,0,0,0,0,0,0,0,0,0,0,0,0,1
Wasabish,0,0,0,0,0,1,1,0,0,1,0,0,1
Jamalhotty,0,0,0,0,0,1,0,0,0,1,0,0,1
Montyman21,0,0,0,0,0,1,0,0,0,1,1,0,1
Poop217,0,0,0,0,0,0,0,0,0,0,0,0,1
StarStorm482,1,1,1,0,0,0,1,0,1,0,0,1,0
Rosterz-Ru8,0,0,0,1,0,0,0,0,0,1,0,1,0
Alansteel45,0,0,0,0,0,1,0,0,0,1,0,0,1
Wargodspirit,0,0,0,1,0,1,1,0,0,1,0,0,1
TylerSmith97,0,0,0,0,0,1,1,0,0,1,0,0,1
Beefy620,0,0,0,0,0,0,0,0,0,0,0,0,1
Mr bobbydobby,0,0,1,0,0,0,1,0,1,0,0,1,0
Smartwikiperson,0,0,0,0,0,1,0,0,0,1,0,0,1
Animatedminer,0,0,0,0,0,1,0,0,0,1,0,0,1
Hohohoinyourbutthole,0,0,0,0,0,0,0,0,0,0,0,0,1
JannelleGraham,0,0,0,0,0,1,0,0,0,1,0,0,1
Vittoriofrancis,0,0,0,1,1,1,1,0,0,1,1,0,0
Pakistantehreekeislaminqilabinsaf,0,0,0,1,0,1,1,0,0,1,0,0,1
ChrisitanGrey,0,0,0,0,0,0,0,0,0,0,0,1,0
Kareem M.,0,0,0,1,0,1,1,0,0,1,0,0,1
Maradox466,1,0,1,1,1,1,1,0,1,1,1,1,0
Bradyn Green,0,1,0,1,1,1,1,0,1,1,0,1,1
Butchiegirl,0,1,1,1,1,1,1,1,1,1,1,0,0
Sanajamayo,0,0,0,1,1,1,1,0,0,1,0,0,1
Aging aaron,0,0,0,0,0,1,0,0,0,1,0,0,1
Dunmowlad,0,0,0,0,1,1,0,0,0,1,1,0,1
Lilo Rage,0,1,1,0,0,0,1,0,1,0,0,1,0
Kfried,0,0,0,1,0,1,1,0,0,1,0,0,1
Sasaji,1,0,1,0,0,0,1,0,1,0,0,1,0
KolumboCro,1,1,0,0,0,0,0,0,1,0,0,1,0
KimJongUn123,0,0,0,1,0,1,1,0,0,1,0,0,1
Mynigguhmynigguh(;,0,0,0,1,1,0,0,0,0,1,0,1,1
Ajitkumarbudha,1,1,1,1,1,1,1,0,1,1,0,1,0
Kevindog,0,0,0,1,0,0,1,0,0,1,0,0,1
Applejames,0,0,0,0,0,1,1,0,0,1,1,0,0
Killykyle,0,0,0,0,0,1,0,0,0,1,1,0,1
Noname3214,0,0,0,1,0,1,0,0,0,1,0,0,1
CanadanHockley,0,1,0,1,0,1,1,0,1,1,0,0,1
Shahinshokouh,0,0,0,1,1,0,0,0,0,1,0,1,1
Bluejellybean54321,0,0,0,0,0,1,1,0,0,1,0,0,1
Ellie334,0,0,0,0,0,0,0,0,0,0,0,0,1
Jkhouri3,1,0,1,0,0,0,1,0,1,0,0,1,0
DannyLBkid,0,1,1,0,0,0,1,0,1,0,0,0,1
ProudFL,0,0,0,0,0,0,0,0,0,0,0,0,0
Mirjam Behne,1,1,1,1,1,1,1,0,1,1,0,1,0
Pogaymanz,0,0,0,0,0,0,0,0,0,0,0,1,1
Iproduceu chris,0,0,0,1,0,0,0,0,0,1,0,1,0
14Anoush,0,0,0,1,1,1,0,0,0,1,0,0,1
Jamesrobledo,0,0,0,1,1,1,1,0,0,1,1,0,1
Hasnain4u,0,0,0,0,0,0,0,0,0,0,0,1,0
XXYYZZ99999,0,0,1,0,0,1,1,0,1,1,0,1,1
Enuejel,1,1,1,1,1,1,1,0,1,1,1,0,0
IEarthos,0,0,1,0,0,0,0,0,1,0,0,1,0
Liljojo99,0,0,0,0,0,0,0,0,0,0,0,0,1
Michael484,1,1,1,0,1,1,1,0,1,1,1,0,1
PaulcXD,0,0,0,0,1,0,0,0,0,1,0,0,1
Lauren1234555555,0,0,0,1,0,1,1,0,0,1,0,0,1
Banan12,0,0,1,0,1,1,1,0,1,1,0,1,0
Tap tamizh,1,0,1,0,0,0,1,0,1,0,0,1,0
Anandhuvijay5,1,1,1,0,0,0,0,0,1,0,0,1,0
Azisxx,0,0,0,1,0,1,0,0,0,1,0,0,1
Davidew72,0,0,0,0,0,1,0,0,0,1,0,0,0
Alexxxxxxla,0,0,0,0,1,0,0,0,0,1,0,0,1
Floggnawfag,0,0,0,0,1,0,0,0,0,1,0,0,1
Fefsf,0,0,0,0,0,0,0,0,0,0,0,0,1
Pongal raj,0,0,0,1,1,1,1,0,0,1,0,0,1
Silvea12,0,0,1,1,1,1,1,0,1,1,0,0,1
FreightHarborers,0,0,1,0,0,0,0,0,1,0,0,1,0
Mrdance62,0,0,0,1,0,1,1,0,0,1,0,0,1
Knavish sprite,1,1,1,0,0,1,0,0,1,1,0,0,0
Emilina27,0,1,0,1,0,1,0,0,1,1,0,0,0
Prettyteacuplou,0,0,0,0,0,1,0,0,0,1,0,0,1
Stephrhodes12,1,0,1,0,0,0,0,0,1,0,0,1,0
Optimus321,0,0,0,0,1,0,0,0,0,1,1,0,0
Derpedyderp,0,0,0,0,0,1,1,0,0,1,0,0,1
LouiseNewell,0,1,1,1,1,1,1,0,1,1,0,1,0
JPhillips416,1,0,1,0,0,0,0,0,1,0,0,0,0
SkyNet WWW,0,0,0,0,0,0,0,0,0,0,0,0,0
McJAH,1,1,1,0,0,0,1,0,1,0,0,1,0
Stefanthegreat12,0,0,0,0,0,1,0,0,0,1,0,0,1
Helteroskeltero,0,0,1,1,1,1,1,0,1,1,1,0,0
Cnish,1,0,1,0,0,0,1,0,1,0,0,1,1
Nielex,0,0,0,0,1,0,0,0,0,1,0,1,0
Philipweiss,0,0,0,1,0,1,1,0,0,1,0,0,0
Xxrdizzlexx,0,0,0,0,0,1,1,0,0,1,0,0,1
Edward1901,0,0,0,0,0,1,0,0,0,1,0,1,1
Martian Milo,0,0,1,1,1,1,1,0,1,1,0,0,0
YoMama321,0,0,0,0,0,1,1,0,0,1,0,0,1
Lazerphoenix,0,0,0,0,0,1,1,0,0,1,0,0,1
Saabski,0,0,0,0,0,0,0,0,0,0,0,1,0
Maddiemdfasdsazasxzfdvwrsd,1,0,0,0,0,0,0,0,1,0,0,1,1
Linealgae65421,0,0,0,1,0,1,1,0,0,1,0,0,0
Thejanoskiansgrande,0,0,0,1,0,1,0,0,0,1,0,0,1
Melschevy,0,0,0,0,1,1,0,0,0,1,1,0,0
RyeGuyXD,0,0,0,0,0,1,0,0,0,1,0,0,1
Poti Berik,1,1,1,0,0,1,1,0,1,1,0,0,0
Athornalley,0,0,0,1,1,1,1,0,0,1,0,1,0
Plasticllama26,0,0,0,0,0,1,0,0,0,1,0,0,1
HaydenJAllen,0,0,0,1,0,1,1,0,0,1,0,0,1
Elic11,0,0,1,0,0,0,0,0,1,0,0,1,0
Medha.Volte,0,0,0,1,0,0,0,0,0,1,0,1,0
Ritchie15000,0,0,0,1,0,1,1,0,0,1,1,0,1
Ganz7,0,0,1,0,0,0,0,0,1,0,0,1,0
Kim.nelson123456,0,0,0,0,0,1,0,0,0,1,0,0,1
Nadia Iqbal,0,0,0,0,0,0,0,0,0,0,0,1,0
Fabrice.Neyret,0,0,0,1,1,1,1,0,0,1,0,0,0
Chhdjxcydgskevrhx,0,0,0,1,0,1,1,0,0,1,0,0,1
SpartanA009,0,0,0,0,0,0,0,0,0,0,0,1,0
Jorjluis,0,1,0,0,0,0,0,0,1,0,0,1,0
Embor Crusher,0,0,0,0,0,1,1,0,0,1,0,0,1
Ocelotl7,0,0,0,0,0,0,0,0,0,0,0,0,0
420 man 451,0,0,0,1,1,1,1,0,0,1,0,0,1
Marcusatius,0,0,0,1,1,1,1,0,0,1,1,0,0
Presi1980,0,1,1,1,0,1,1,0,1,1,0,0,0
HolyRabbit,0,0,1,0,0,0,1,0,1,0,0,1,0
RiverSev,1,0,1,0,0,0,1,0,1,0,0,1,0
Billtrent3,0,0,0,1,0,0,0,0,0,1,0,0,0
Poopnuke,0,0,0,0,1,0,0,0,0,1,0,0,1
Hossam Kalabsh,0,0,1,0,0,0,0,0,1,0,0,1,0
Morefragsmorefun,0,0,0,0,0,1,0,0,0,1,1,0,1
Sharkmansteelerdude,0,0,0,0,0,0,0,0,0,0,0,1,1
Jerry See Jie Siang,1,1,0,1,0,0,0,0,1,1,0,1,0
RiseOfMann,1,1,1,0,0,0,0,0,1,0,0,1,0
Ashwin.d.chandak,1,1,1,1,1,1,1,0,1,1,0,1,0
MhmmIbet,0,0,0,0,0,0,0,0,0,0,0,0,1
Death Killer Fel,0,0,0,1,1,1,1,0,0,1,0,0,1
Procre8or,1,1,1,0,0,1,1,0,1,1,0,1,0
Precious clifford,0,1,0,0,0,0,0,0,1,0,0,1,0
Rewarded Wolf,0,0,0,0,0,1,1,0,0,1,1,0,0
Wikiluke11111,0,0,0,1,0,1,1,0,0,1,0,1,0
BobJohnTom,1,1,1,1,0,1,1,0,1,1,1,1,1
Caltor9,0,0,0,0,1,1,0,0,0,1,0,1,1
Tomrowe109,0,0,1,0,0,0,0,0,1,0,0,1,0
Johnnytecmo,1,0,1,1,1,1,1,0,1,1,1,0,0
19afisher1,0,0,1,0,0,0,1,0,1,0,0,1,0
Naomiz,0,0,0,0,0,0,0,0,0,0,0,0,1
ConsoleGamerMan,1,1,1,0,0,0,0,0,1,0,0,1,0
Iarockguy,0,0,0,0,1,0,0,0,0,1,0,0,1
ApolloTheArtist,0,0,0,0,0,0,0,0,0,0,0,0,1
Chriswomann,0,0,0,0,0,1,1,0,0,1,0,0,1
LarryShipper3456789,0,0,0,0,0,1,0,0,0,1,0,0,1
Jack8258,0,0,0,0,0,0,0,0,0,0,1,0,1
Jarleshaas,0,0,0,1,0,0,1,0,0,1,0,0,0
CallumMercer34,1,1,1,0,0,0,1,0,1,0,0,0,1
Kstolp,0,0,0,0,1,0,0,0,0,1,1,0,0
Vsavaram,1,1,1,0,0,0,0,0,1,0,0,1,0
Microwavemanperson,0,0,0,1,0,1,1,0,0,1,0,0,1
JuliaBowman,1,0,0,0,0,0,0,0,1,0,0,0,0
Fartach123,0,0,0,0,0,1,0,0,0,1,0,0,1
Sammylusher,0,0,0,0,0,1,0,0,0,1,0,1,0
Dioptase,1,1,1,1,1,1,1,0,1,1,0,1,0
Caldervale99,0,0,0,1,1,0,0,0,0,1,0,0,1
Seahawklover103,0,0,0,0,0,1,1,0,0,1,0,0,1
Horsesarenotonlybeautifulbutuseful,1,0,0,0,0,1,0,0,1,1,1,1,1
Rus793,0,1,1,1,1,0,0,0,1,1,1,1,0
Isetem13,1,1,1,1,1,1,1,0,1,1,0,1,0
Bnicole25,0,0,0,0,0,0,0,0,0,0,0,1,0
MrIrishman56,0,0,0,1,0,1,1,0,0,1,0,0,1
TR Amnesia,0,0,0,0,0,0,0,0,0,0,0,1,0
Amir salahi,1,1,1,0,0,0,0,0,1,0,0,1,0
Pisapiza,0,1,1,1,0,1,1,0,1,1,0,0,1
Billy00joe00,0,0,0,0,0,0,0,0,0,0,0,0,1
Alex Whiter,0,0,0,0,0,1,1,0,0,1,0,0,1
Segfault Sammy,0,1,1,0,0,0,1,0,1,0,0,1,1
Prieural,0,0,0,0,0,1,1,0,0,1,0,0,1
Hldavis17,0,0,0,1,0,1,1,0,0,1,0,0,1
Googlewell,0,0,0,1,0,0,0,0,0,1,0,1,0
Sudharsan Sridhar,1,0,1,0,0,0,1,0,1,0,0,1,0
Sonicteamlover101,0,0,1,0,0,0,1,0,1,0,0,1,1
Sean.tyl.and,1,0,1,1,1,1,1,0,1,1,0,0,0
Pathetically,0,0,0,0,0,0,0,0,0,0,1,1,0
Streww,0,0,1,0,1,1,0,0,1,1,0,0,0
Marc A Turner,0,0,1,0,0,1,1,0,1,1,0,1,0
Kellertuer,0,0,1,1,1,1,1,0,1,1,0,0,0
Bountyhunter2001,0,1,0,0,1,1,0,0,1,1,0,0,1
Qwerty12345678932,0,0,1,0,1,0,1,0,1,1,1,0,1
5201connor,0,0,0,1,0,1,1,0,0,1,0,0,1
Davidmister2000,0,0,0,1,0,1,1,0,0,1,0,0,1
Kiled284,0,0,0,0,0,1,1,0,0,1,0,0,1
IMRAN MOHAMMAD KASIM KHAN,0,0,0,0,0,0,0,0,0,0,0,1,0
Pootatoes,0,0,0,0,0,1,0,0,0,1,0,0,1
Mtwilen,1,0,0,0,0,0,0,0,1,0,0,1,0
Blahbeep230,0,0,0,0,0,1,1,0,0,1,0,0,1
Farheen Boss,1,1,1,0,0,0,1,0,1,0,0,1,0
TheTrolleyPole,0,0,1,1,1,1,0,1,1,1,1,0,0
Cheukcomm154,0,0,1,0,0,0,0,0,1,0,0,0,0
Chickenmcface,0,0,0,0,0,1,1,0,0,1,0,1,1
Enem estate,1,1,0,0,0,0,0,0,1,0,0,1,0
Liquidchickensarepurple,0,0,0,0,0,0,0,0,0,0,0,0,0
Holdenator 9000,0,0,1,0,0,0,0,0,1,0,0,1,1
Skpg,0,0,0,0,0,0,0,0,0,0,0,1,0
Alexbat007,1,0,1,0,0,0,1,0,1,0,0,1,0
Medche,0,0,0,0,1,1,0,0,0,1,0,1,0
DrewGrimaldi,1,1,1,0,0,0,1,0,1,0,0,1,0
Dan2964,0,0,0,0,0,1,0,0,0,1,0,0,1
Kejreg,0,0,0,0,0,1,0,0,0,1,0,0,0
Steve Minder,0,0,0,0,0,1,1,0,0,1,0,0,1
Garybuseyslover,0,0,0,1,1,0,0,0,0,1,0,0,1
"Mr Alahalahong, aladaladong",0,0,0,0,0,1,1,0,0,1,0,0,1
Doopadee,0,0,0,1,1,1,1,0,0,1,0,0,1
Daman94,0,0,0,0,0,0,0,0,0,0,0,0,1
Matteblackful,0,0,1,1,1,1,1,0,1,1,0,0,1
Thatdudecray,0,0,0,1,0,1,1,0,0,1,0,0,1
Clone784,0,0,0,1,0,0,0,0,0,1,0,0,0
C5 SMSP,0,0,0,0,0,1,1,0,0,1,0,1,0
Brentc3,0,0,1,0,0,0,0,0,1,0,0,0,0
CharityKountz,0,0,0,1,0,1,1,0,0,1,0,1,0
Kitesnears,0,0,0,1,0,0,0,0,0,1,0,0,1
Xxcarltonxx,1,0,1,1,0,1,1,0,1,1,0,0,1
Youstink2,0,0,0,0,0,1,0,0,0,1,0,0,1
Shuan.tan,0,0,0,0,0,1,1,0,0,1,0,1,0
Amber Agrahari,1,0,1,0,0,0,1,0,1,0,0,1,0
Alif Irfan,1,0,1,0,0,0,0,0,1,0,0,1,0
Sophiewatchesu,0,0,0,0,0,0,0,0,0,0,0,0,1
RHam92,1,0,0,1,1,1,0,0,1,1,0,1,0
Flendermann,0,0,0,0,0,1,0,0,0,1,0,0,1
LRayner1989,1,0,1,0,0,0,0,0,1,0,0,1,0
Gracielooroo,0,0,0,0,0,0,0,0,0,0,0,0,1
Dominick0207,0,0,0,1,0,1,1,0,0,1,0,0,1
Drewkongs,0,0,1,1,0,1,1,1,1,1,0,0,0
Climbingluke,0,0,0,1,0,1,1,0,0,1,0,0,1
Ruonan Zhang,1,1,1,1,1,1,1,1,1,1,0,1,0
Shant meeroian,0,1,1,0,0,0,1,0,1,0,0,1,0
Username314159,0,0,0,1,0,0,0,0,0,1,0,0,1
Shadir sheriffdeen,1,1,1,0,0,0,1,0,1,0,0,1,0
Kingrowan97,0,0,0,0,0,1,1,0,0,1,0,0,1
Jackospar4434,0,1,0,0,0,0,0,0,1,0,1,1,1
DED BUDDY,1,1,1,0,0,0,1,0,1,0,0,1,0
Aeoiuaeoiueiuoeiuoaeoiuaec,0,0,1,0,0,0,1,0,1,0,0,0,1
Justinlaylo,0,0,0,0,0,1,1,0,0,1,0,0,1
Rivershaws,1,1,1,0,0,0,1,0,1,0,0,0,0
Sideswipe917,0,0,0,1,0,1,1,0,0,1,0,0,1
로벤타,0,0,0,1,0,1,1,0,0,1,0,0,1
Ttylforlols,0,0,0,1,0,1,1,0,0,1,0,0,1
VThomas21,1,1,1,0,0,0,1,0,1,0,0,1,0
Ewald dlawE,1,1,1,0,0,0,1,0,1,0,0,1,0
MJPTMP,1,1,1,0,0,0,0,0,1,0,0,0,0
Robinsonahoy,1,1,0,1,0,0,0,0,1,1,0,0,1
SulurBidar,0,0,0,0,0,0,0,0,0,0,0,1,0
Rey991,1,0,0,0,0,0,0,0,1,0,0,1,0
Montasirtonmoy,0,0,0,1,0,0,0,0,0,1,0,1,0
Nrgcoltsfan,0,0,1,1,0,1,1,0,1,1,0,1,0
Evensteven,1,1,1,1,1,1,1,0,1,1,1,1,0
Tzar000,0,0,0,0,0,0,0,0,0,0,0,0,1
LibertarianGuy,1,1,1,1,1,1,1,1,1,1,1,0,0
Bootysackzzzz,0,0,0,1,0,1,1,0,0,1,0,0,1
Ian C. Lumpkin,0,0,0,0,0,0,0,0,0,0,0,0,1
Cap637,0,0,0,0,0,0,0,0,0,0,0,0,0
TheNorlo,1,1,1,1,1,1,1,0,1,1,1,0,0
Lyudmila 1991.18.01.12,1,0,1,0,0,0,1,0,1,0,0,1,0
Tomek8888888,0,0,0,1,0,1,1,0,0,1,0,0,1
Aryanoryan22,0,0,0,0,0,1,1,0,0,1,0,0,0
Ktiley14,1,1,1,1,1,1,1,0,1,1,0,1,0
Did I break your concentration?,0,0,1,0,0,0,1,0,1,0,0,1,1
Varenchugh,0,0,0,0,0,0,0,0,0,0,0,1,0
Onetimeuseusername,0,0,0,0,0,0,0,0,0,0,0,0,1
CardinalKOB,0,0,0,0,0,1,1,0,0,1,0,0,1
Himymm,0,0,0,1,0,0,0,0,0,1,0,0,1
Allan Jacobsen Is A Handsome YEAH,0,0,0,0,0,0,0,0,0,0,0,0,1
Fahdkabir,0,0,1,0,0,0,1,0,1,0,0,1,0
Piercekid123,0,0,1,0,0,0,0,0,1,0,0,0,1
Telio Craft Telo,1,0,1,0,0,0,1,0,1,0,0,1,1
Glenmaura,0,0,0,1,1,1,1,0,0,1,0,0,1
WikipediaNoMore254,0,0,0,1,0,1,1,0,0,1,0,0,1
Kittykat1011945,0,0,0,0,0,1,0,0,0,1,0,0,1
Bearcub12,0,0,0,0,0,0,0,0,0,0,0,0,1
Epettersen,0,0,0,1,0,1,1,0,0,1,0,0,0
Donnanz,1,0,1,1,0,0,0,0,1,1,1,0,0
Meow23345678,0,0,0,0,0,0,0,0,0,0,0,0,1
Hnrman13,0,0,0,1,0,1,1,0,0,1,0,1,0
Jdothado,0,1,0,0,0,0,0,0,1,0,0,1,0
Brock273,0,0,0,0,1,1,1,0,0,1,0,0,1
Kavdiamanju,0,1,1,1,1,1,1,1,1,1,1,0,0
Peggyb1946,0,0,0,1,0,1,1,0,0,1,0,1,0
Myshehan,1,0,1,1,1,0,1,0,1,1,0,1,0
Tirthakanji,1,1,1,1,1,1,1,1,1,1,0,1,0
NintendoRocks44,0,0,0,1,0,0,0,0,0,1,0,0,1
Ionel141,0,0,0,1,1,1,1,0,0,1,1,0,0
Mewtwo56,0,0,0,1,1,0,0,0,0,1,0,0,1
Yhlim,1,1,1,0,0,0,1,0,1,0,0,1,0
Jordaaanbrown,0,0,0,1,1,1,1,0,0,1,0,0,1
Youknowwhoiamm,0,0,0,0,0,0,0,0,0,0,0,0,1
Tahmeed10,0,0,0,1,1,1,1,0,0,1,0,0,1
Usafbeach,0,0,0,0,0,0,0,0,0,0,0,0,0
Curbkicked,1,1,0,0,0,0,0,0,1,0,0,1,0
EliEngwicht,0,0,0,0,0,0,0,0,0,0,0,0,1
Legiallity,0,1,1,1,0,1,1,1,1,1,1,0,0
Blouses008,0,0,0,0,1,1,0,0,0,1,0,0,1
Nicolaiminuts,0,0,1,0,0,0,1,0,1,0,0,1,0
Elisabeth thun,1,1,0,0,0,0,0,0,1,0,0,1,0
Paytonissuperawesome,0,0,0,1,0,1,1,0,0,1,0,0,1
Answerasfasfas,0,0,0,1,0,1,1,0,0,1,0,0,1
MjolnirPants,1,1,1,1,1,1,1,1,1,1,1,0,0
Barkat mirzai,0,0,0,0,0,0,0,0,0,0,0,1,0
IntegregationX,0,0,0,1,0,1,1,0,0,1,0,0,1
Ford.haynes,0,0,0,0,1,0,0,0,0,1,0,0,1
Phuckmehico,0,0,0,0,0,0,0,0,0,0,0,0,1
Mann madrosiya,0,0,1,1,1,0,0,0,1,1,0,0,1
NotFrank,0,0,0,1,1,1,0,0,0,1,1,0,0
Rebecca2015,1,0,1,1,1,1,1,0,1,1,0,1,0
Alex fishbeck,0,0,0,1,0,1,1,0,0,1,0,0,1
Tpfingsten,0,0,0,0,0,0,0,0,0,0,0,1,0
Anton.aldemir,1,1,1,1,1,1,1,1,1,1,1,0,0
보건복지부,0,1,0,0,0,1,1,0,1,1,0,0,1
Imjustnerd,1,0,1,0,0,0,1,0,1,0,0,1,1
LegendsTour,1,1,1,0,0,0,1,0,1,0,0,1,0
Cammy Wark,0,0,0,1,0,1,1,0,0,1,0,0,1
ERMlibrarian,1,1,0,0,1,1,0,0,1,1,0,1,0
Thasher99,0,0,1,0,0,0,1,0,1,0,0,1,0
BjornEriks,0,1,0,1,1,1,0,0,1,1,0,1,0
Lionelmessiballoondor,0,0,0,1,0,1,1,0,0,1,0,0,1
Mikemaniquiz,1,1,1,1,1,1,1,0,1,1,0,1,0
Orgasimmaker1234,0,0,0,1,0,1,1,0,0,1,0,0,1
DatKeldeoPony,0,0,0,0,0,0,0,0,0,0,0,0,0
J66 J66,0,0,1,1,0,0,0,0,1,1,0,0,0
PRIYANSHU RAJ MEHATA,0,0,1,0,0,0,1,0,1,0,0,1,0
Alwazhappy,0,0,0,1,0,1,0,0,0,1,0,1,0
Lilwereboy,1,0,0,0,0,0,0,0,1,0,0,0,1
Tolerama,1,0,1,0,0,0,1,0,1,0,0,1,0
Jemmitt,0,0,0,0,0,0,0,0,0,0,0,0,0
AnemoneKiwi,0,0,0,1,0,1,1,0,0,1,0,0,0
Fmohamed,1,1,1,0,0,0,0,1,1,0,0,1,0
Abdulpsp,0,0,0,1,1,0,0,0,0,1,0,0,1
Ill hammer the door down,0,0,0,1,1,0,0,0,0,1,0,0,1
Oxordphdcollege,0,0,0,1,0,0,0,0,0,1,0,0,1
Bob Reble,0,0,0,0,0,1,0,0,0,1,0,1,1
Glamrhea86,0,1,1,0,0,0,0,0,1,0,0,1,0
Smart dude2,0,0,0,1,1,1,0,0,0,1,1,0,1
Shaheenwali,1,0,1,0,0,0,1,0,1,0,0,1,0
Eu1234,0,0,0,0,0,1,0,0,0,1,0,0,1
BlackBridge1,1,0,1,0,0,0,1,0,1,0,0,0,0
Mtdillman,0,0,1,1,1,1,1,0,1,1,1,0,0
Dickie birdie,1,1,1,1,1,1,1,0,1,1,1,0,0
BDwinds,1,1,0,1,1,1,0,0,1,1,1,0,0
CorneliaBoldyreff,1,1,1,1,1,1,1,1,1,1,1,1,0
Javier at PAHO,0,0,0,0,0,1,1,0,0,1,0,1,0
Gabby362,0,0,0,0,0,0,0,0,0,0,0,0,1
Jackhammershit33,0,1,0,0,0,0,0,0,1,0,0,0,1
Sidimomo,0,0,0,0,1,1,0,0,0,1,0,0,0
Yamumsdadsbrother,0,0,0,0,0,1,0,0,0,1,0,0,1
Travis Bacchus,0,1,0,0,0,0,0,0,1,0,0,1,0
Bobman5736,0,0,0,0,0,0,0,0,0,0,0,0,1
Jorindsuti2013,0,0,1,0,0,1,1,0,1,1,0,0,0
Adoyle123,1,0,1,0,0,0,1,0,1,0,0,1,0
